CCFS_A,CCFS_B,Mud_Diamict,Diamict_only,Al,Ca,Zr,K,Rb,Si,b_star,NGR,MS,Mud_Diamict_code,Diamict_only_code
0.951,0.81,mud,NA,9.417,4.0595,50.636,1.7168,63.828,37.755,1.8,0.02,46.5,1,1
0.975,0.83,mud,NA,9.6819,3.9274,49.848,1.7059,60.553,39.91,1,0.02,46.3,1,1
0.976,0.83,mud,NA,9.6819,3.9274,49.848,1.7059,60.553,39.91,1,0.02,46.3,1,1
1,0.86,mud,NA,9.5448,3.9366,51.61,1.6703,63.232,37.538,-0.7,0.02,43.7,1,1
1.001,0.86,mud,NA,9.5448,3.9366,51.61,1.6703,63.232,37.538,-0.7,0.02,43.7,1,1
1.025,0.88,mud,NA,11.075,3.5833,45.624,1.652,58.982,42.215,0.9,0.02,43.2,1,1
1.026,0.88,mud,NA,11.075,3.5833,45.624,1.652,58.982,42.215,0.9,0.02,43.2,1,1
1.05,0.9,mud,NA,10.536,3.6039,45.896,1.7048,56.202,41.009,1.9,0.02,43.1,1,1
1.051,0.9,mud,NA,10.536,3.6039,45.896,1.7048,56.202,41.009,1.9,0.02,43.1,1,1
1.075,0.92,mud,NA,11.063,3.504,44.109,1.6528,56.317,42.023,2.2,0.02,42,1,1
1.076,0.92,mud,NA,11.063,3.504,44.109,1.6528,56.317,42.023,2.2,0.02,42,1,1
1.1,0.94,mud,NA,10.851,3.5464,44.474,1.6366,52.743,41.919,3.7,0.02,42,1,1
1.101,0.94,mud,NA,10.851,3.5464,44.474,1.6366,52.743,41.919,3.7,0.02,42,1,1
1.125,0.96,mud,NA,11.384,3.4591,41.983,1.6032,52.385,43.218,0.9,0.02,40.9,1,1
1.126,0.96,mud,NA,11.384,3.4591,41.983,1.6032,52.385,43.218,0.9,0.02,40.9,1,1
1.15,0.98,mud,NA,11.509,3.487,42.747,1.6021,52.422,43.521,2.5,0.02,41,1,1
1.151,0.98,mud,NA,11.509,3.487,42.747,1.6021,52.422,43.521,2.5,0.02,41,1,1
1.175,1,mud,NA,11.586,3.5402,42.118,1.5608,53.061,43.066,0.7,0.02,41.5,1,1
1.176,1.01,mud,NA,11.586,3.5402,42.118,1.5608,53.061,43.066,0.4,0.02,42.8,1,1
1.2,1.03,mud,NA,11.551,3.6072,42.884,1.5823,52.201,42.776,3.4,0.019,44.8,1,1
1.201,1.03,mud,NA,11.551,3.6072,42.884,1.5823,52.201,42.776,3.4,0.019,44.8,1,1
1.225,1.05,mud,NA,11.994,3.5103,44.135,1.5126,49.604,43.699,4.1,0.019,45.2,1,1
1.226,1.05,mud,NA,11.994,3.5103,44.135,1.5126,49.604,43.699,4.1,0.019,45.2,1,1
1.25,1.07,mud,NA,11.562,3.489,44.521,1.54,52.765,42.952,3.4,0.019,45,1,1
1.251,1.07,mud,NA,11.562,3.489,44.521,1.54,52.765,42.952,3.4,0.019,45,1,1
1.275,1.09,mud,NA,10.956,3.5527,44.845,1.5472,52.909,41.957,0.5,0.019,45,1,1
1.276,1.09,mud,NA,10.956,3.5527,44.845,1.5472,52.909,41.957,0.5,0.019,45,1,1
1.3,1.11,mud,NA,10.892,3.5752,45.931,1.5652,56.288,40.504,3.7,0.019,45.4,1,1
1.301,1.11,mud,NA,10.892,3.5752,45.931,1.5652,56.288,40.504,3.7,0.019,45.4,1,1
1.325,1.13,mud,NA,10.854,3.6004,45.745,1.6031,53.521,41.986,3.7,0.019,46.6,1,1
1.326,1.13,mud,NA,10.854,3.6004,45.745,1.6031,53.521,41.986,3.7,0.019,46.6,1,1
1.35,1.15,mud,NA,10.702,3.613,46.253,1.6072,53.881,42.046,2.4,0.019,47.8,1,1
1.351,1.16,mud,NA,10.702,3.613,46.253,1.6072,53.881,42.046,2.4,0.019,48.6,1,1
1.375,1.18,mud,NA,10.789,3.6875,46.267,1.6009,55.373,41.06,2.8,0.019,49.5,1,1
1.376,1.18,mud,NA,10.789,3.6875,46.267,1.6009,55.373,41.06,2.8,0.019,49.5,1,1
1.4,1.2,mud,NA,10.253,3.7822,48.871,1.6218,55.922,39.429,0.9,0.019,50.2,1,1
1.401,1.2,mud,NA,10.253,3.7822,48.871,1.6218,55.922,39.429,0.9,0.019,50.2,1,1
1.425,1.22,mud,NA,9.2242,3.7555,52.865,1.5705,63.741,36.625,1.7,0.019,50.2,1,1
1.426,1.22,mud,NA,9.2242,3.7555,52.865,1.5705,63.741,36.625,1.7,0.019,50.2,1,1
1.45,1.24,mud,NA,9.4548,4.0501,51.959,1.6287,57.554,38.186,1.6,0.019,49.5,1,1
1.451,1.24,mud,NA,9.4548,4.0501,51.959,1.6287,57.554,38.186,1.6,0.019,49.5,1,1
