"","depth","mclust_results","hclust_3PCs-5Clusters"
"1095",15.729,2,1
"1096",15.754,2,1
"1097",15.773,2,1
"1098",15.779,2,1
"1099",15.804,2,1
"1100",15.823,2,1
"1101",15.829,2,1
"1102",15.854,2,1
"1103",15.873,2,1
"1104",15.879,2,1
"1105",15.904,2,3
"1106",15.923,2,3
"1107",15.929,1,3
"1108",15.954,1,2
"1109",15.973,1,2
"1110",15.979,1,2
"1111",16.004,1,2
"1112",16.023,1,2
"1113",16.029,1,1
"1114",16.054,1,3
"1115",16.073,1,1
"1116",16.079,1,1
"1117",16.104,1,1
"1118",16.123,1,1
"1119",16.129,1,3
"1120",16.154,1,3
"1121",16.173,1,3
"1122",16.179,1,3
"1123",16.204,1,1
"1124",16.223,1,1
"1125",16.229,1,1
"1126",16.254,1,1
"1127",16.273,1,1
"1128",16.279,1,1
"1129",16.304,1,3
"1130",16.323,1,1
"1131",16.329,1,1
"1132",16.354,1,3
"1133",16.373,1,3
"1134",16.379,1,3
"1135",16.404,1,3
"1136",16.423,1,3
"1137",16.429,1,2
"1138",16.454,1,3
"1139",16.473,1,3
"1140",16.479,1,3
"1141",16.504,1,3
"1142",16.523,1,3
"1143",16.529,1,1
"1144",16.554,2,1
"1145",16.573,1,3
"1146",16.579,1,3
"1147",16.604,2,1
"1148",16.623,2,1
"1149",16.629,1,2
"1150",16.654,1,3
"1151",16.673,3,3
"1152",16.679,3,3
"1153",16.704,1,3
"1154",16.723,1,3
"1155",16.729,1,3
"1156",16.754,1,3
"1157",16.773,1,3
"1158",16.779,1,3
"1159",16.804,1,3
"1160",16.823,1,3
"1161",16.829,1,3
"1162",16.854,1,3
"1163",16.873,2,1
"1164",16.879,2,1
"1165",16.904,1,1
"1166",16.923,1,1
"1167",16.929,2,1
"1168",16.954,2,3
"1169",16.973,1,3
"1170",16.979,1,3
"1171",17.004,2,1
"1172",17.023,2,1
"1173",17.029,1,2
"1174",17.054,2,2
"1175",17.073,2,1
"1176",17.079,2,1
"1177",17.104,2,1
"1178",17.127,2,1
"1179",17.129,2,1
"1180",17.154,2,1
"1181",17.177,2,1
"1182",17.179,2,1
"1183",17.204,2,1
"1184",17.227,2,1
"1185",17.229,2,1
"1186",17.254,2,1
"1187",17.277,2,1
"1188",17.279,2,1
"1189",17.304,2,1
"1190",17.327,1,1
"1191",17.329,1,1
"1192",17.354,2,1
"1193",17.377,2,1
"1194",17.379,2,1
"1195",17.404,2,1
"1196",17.427,2,1
"1197",17.429,2,1
"1198",17.454,2,1
"1199",17.477,2,1
"1200",17.479,2,1
"1201",17.504,2,1
"1202",17.527,2,1
"1203",17.529,2,1
"1204",17.554,1,1
"1205",17.577,1,1
"1206",17.579,1,1
"1207",17.604,2,1
"1208",17.627,1,1
"1209",17.629,1,1
"1210",17.654,1,1
"1211",17.677,1,1
"1212",17.679,1,1
"1213",17.704,1,3
"1214",17.727,1,1
"1215",17.729,1,1
"1216",17.754,1,1
"1217",17.777,1,1
"1218",17.779,1,1
"1219",17.804,1,1
"1220",17.827,1,1
"1221",17.829,1,1
"1222",17.854,1,1
"1223",17.877,1,1
"1224",17.879,1,1
"1225",17.904,1,1
"1226",17.927,2,1
"1227",17.929,2,1
"1228",17.954,1,1
"1229",17.977,2,1
"1230",17.979,2,1
"1231",18.004,2,1
"1232",18.027,2,1
"1233",18.029,2,1
"1234",18.054,2,1
"1235",18.077,2,1
"1236",18.079,2,1
"1237",18.104,2,1
"1238",18.127,1,1
"1239",18.129,1,1
"1240",18.154,2,1
"1241",18.177,2,1
"1242",18.179,2,1
"1243",18.204,2,1
"1244",18.227,2,1
"1245",18.229,2,1
"1246",18.254,2,1
"1247",18.277,2,1
"1248",18.279,2,1
"1249",18.304,2,1
"1250",18.327,2,1
"1251",18.329,2,1
"1252",18.354,1,1
"1253",18.377,2,1
"1254",18.379,2,1
"1255",18.404,1,1
"1256",18.427,1,1
"1257",18.429,1,1
"1258",18.454,1,1
"1259",18.477,2,1
"1260",18.479,2,1
"1261",18.504,1,1
"1262",18.514,1,1
"1263",18.517,1,1
"1264",18.535,1,1
"1265",18.538,1,1
"1266",18.56,1,1
"1267",18.585,1,1
"1268",18.588,1,1
"1269",18.61,1,1
"1270",18.635,1,1
"1271",18.638,1,1
"1272",18.66,1,1
"1273",18.685,2,1
"1274",18.688,2,1
"1275",18.71,1,1
"1276",18.735,1,1
"1277",18.738,1,1
"1278",18.76,2,1
"1279",18.785,2,1
"1280",18.788,2,1
"1281",18.81,1,1
"1282",18.835,1,1
"1283",18.838,1,1
"1284",18.86,1,1
"1285",18.885,1,3
"1286",18.888,1,3
"1287",18.91,1,1
"1288",18.935,1,1
"1289",18.938,1,1
"1290",18.96,1,1
"1291",18.985,1,3
"1292",18.988,1,3
"1293",19.01,1,1
"1294",19.035,1,1
"1295",19.038,1,1
"1296",19.06,1,3
"1297",19.085,1,1
"1298",19.088,1,1
"1299",19.11,1,1
"1300",19.135,1,1
"1301",19.138,1,1
"1302",19.16,2,1
"1303",19.185,1,1
"1304",19.188,1,1
"1305",19.21,1,1
"1306",19.235,1,1
"1307",19.238,1,1
"1308",19.26,1,1
"1309",19.285,1,1
"1310",19.288,1,1
"1311",19.31,1,1
"1312",19.335,1,1
"1313",19.338,1,1
"1314",19.36,1,1
"1315",19.385,1,1
"1316",19.388,1,1
"1317",19.401,2,1
"1318",19.409,2,1
"1319",19.426,2,1
"1320",19.451,2,1
"1321",19.459,2,1
"1322",19.476,2,1
"1323",19.501,1,1
"1324",19.509,1,1
"1325",19.526,1,1
"1326",19.551,2,1
"1327",19.559,2,1
"1328",19.576,1,1
"1329",19.601,1,3
"1330",19.609,1,3
"1331",19.626,1,3
"1332",19.651,1,3
"1333",19.659,1,3
"1334",19.676,1,3
"1335",19.701,1,3
"1336",19.709,1,3
"1337",19.726,1,1
"1338",19.751,2,1
"1339",19.759,2,1
"1340",19.776,1,1
"1341",19.801,1,1
"1342",19.809,1,1
"1343",19.826,1,1
"1344",19.851,1,1
"1345",19.859,1,1
"1346",19.876,2,2
"1347",19.901,2,2
"1348",19.909,2,2
"1349",19.926,2,1
"1350",19.951,1,1
"1351",19.959,1,1
"1352",19.976,1,3
"1353",20.001,1,1
"1354",20.009,1,1
"1355",20.026,1,1
"1356",20.051,1,1
"1357",20.059,1,1
"1358",20.076,1,1
"1359",20.101,1,1
"1360",20.109,1,1
"1361",20.126,1,1
"1362",20.151,2,1
"1363",20.159,2,1
"1364",20.176,1,1
"1365",20.201,1,1
"1366",20.209,1,1
"1367",20.226,1,1
"1368",20.251,2,1
"1369",20.259,2,1
"1370",20.276,2,1
"1371",20.301,2,1
"1372",20.309,2,1
"1373",20.326,2,1
"1374",20.351,2,1
"1375",20.359,2,1
"1376",20.376,2,1
"1377",20.401,2,1
"1378",20.409,2,1
"1379",20.426,2,1
"1380",20.451,2,1
"1381",20.459,2,1
"1382",20.476,2,1
"1383",20.501,1,1
"1384",20.509,1,1
"1385",20.526,2,2
"1386",20.551,2,1
"1387",20.559,2,1
"1388",20.576,2,1
"1389",20.601,2,2
"1390",20.609,2,2
"1391",20.626,2,1
"1392",20.651,2,1
"1393",20.659,2,1
"1394",20.675,1,2
"1395",20.7,1,2
"1396",20.709,1,2
"1397",20.725,1,2
"1398",20.75,1,2
"1399",20.759,1,2
"1400",20.775,1,2
"1401",20.8,1,2
"1402",20.809,1,2
"1403",20.825,1,2
"1404",20.85,1,2
"1405",20.859,1,2
"1406",20.875,1,2
"1407",20.9,2,1
"1408",20.922,2,1
"1409",20.932,1,2
"1410",20.947,1,2
"1411",20.972,1,2
"1412",20.982,1,2
"1413",20.997,2,2
"1414",21.022,4,2
"1415",21.032,1,2
"1416",21.047,1,2
"1417",21.072,1,2
"1418",21.082,1,2
"1419",21.097,1,3
"1420",21.122,1,2
"1421",21.132,4,2
"1422",21.147,4,2
"1423",21.172,1,3
"1424",21.182,1,3
"1425",21.197,1,3
"1426",21.222,3,3
"1427",21.232,1,2
"1428",21.247,1,2
"1429",21.272,2,2
"1430",21.282,2,2
"1431",21.297,1,2
"1432",21.322,4,2
"1433",21.332,1,2
"1434",21.347,1,2
"1435",21.372,1,3
"1436",21.382,1,3
"1437",21.397,1,2
"1438",21.422,3,3
"1439",21.432,3,2
"1440",21.447,3,2
"1441",21.472,3,3
"1442",21.482,3,3
"1443",21.497,2,2
"1444",21.522,2,2
"1445",21.532,2,2
"1446",21.547,2,2
"1447",21.572,4,2
"1448",21.582,4,2
"1449",21.597,4,2
"1450",21.622,4,2
"1451",21.632,4,2
"1452",21.647,4,2
"1453",21.672,4,2
"1454",21.682,4,2
"1455",21.697,4,2
"1456",21.722,4,2
"1457",21.732,4,2
"1458",21.747,4,2
"1459",21.772,4,2
"1460",21.782,4,2
"1461",21.797,2,1
"1462",21.822,2,2
"1463",21.832,2,2
"1464",21.847,2,2
"1465",21.872,4,2
"1466",21.882,4,2
"1467",21.897,4,2
"1468",21.922,2,2
"1469",21.932,4,2
"1470",21.947,4,2
"1471",21.972,5,1
"1472",21.982,5,1
"1473",21.997,5,1
"1474",22.022,5,1
"1475",22.032,5,1
"1476",22.047,5,1
"1477",22.072,5,1
"1478",22.082,5,1
"1479",22.097,5,1
"1480",22.122,1,2
"1481",22.132,1,2
"1482",22.147,1,2
"1483",22.172,3,2
"1484",22.182,3,2
"1485",22.197,3,3
"1486",22.222,4,2
"1487",22.232,2,2
"1488",22.247,2,2
"1489",22.272,4,2
"1490",22.282,4,2
"1491",22.297,4,2
"1492",22.322,1,2
"1493",22.332,1,2
"1494",22.347,1,2
"1495",22.368,1,2
"1496",22.393,1,3
"1497",22.405,1,3
"1498",22.418,1,2
"1499",22.443,3,3
"1500",22.455,3,3
"1501",22.468,3,3
"1502",22.493,1,3
"1503",22.505,1,3
"1504",22.518,1,3
"1505",22.543,1,3
"1506",22.555,1,3
"1507",22.568,1,3
"1508",22.593,1,3
"1509",22.605,1,3
"1510",22.618,2,2
"1511",22.643,4,2
"1512",22.655,2,2
"1513",22.668,2,2
"1514",22.693,2,1
"1515",22.705,2,1
"1516",22.718,2,2
"1517",22.743,2,2
"1518",22.755,2,2
"1519",22.768,2,2
"1520",22.793,2,1
"1521",22.805,2,1
"1522",22.818,2,2
"1523",22.843,2,1
"1524",22.855,2,1
"1525",22.868,2,1
"1526",22.893,1,2
"1527",22.905,1,2
"1528",22.918,1,2
"1529",22.943,1,2
"1530",22.955,1,3
"1531",22.968,1,3
"1532",22.993,3,3
"1533",23.005,3,3
"1534",23.018,1,3
"1535",23.043,3,3
"1536",23.055,1,3
"1537",23.068,1,3
"1538",23.093,4,2
"1539",23.105,4,2
"1540",23.118,1,1
"1541",23.143,1,1
"1542",23.155,1,1
"1543",23.168,1,1
"1544",23.193,1,1
"1545",23.205,1,1
"1546",23.218,1,1
"1547",23.243,1,1
"1548",23.255,1,1
"1549",23.268,1,1
"1550",23.293,2,1
"1551",23.305,2,1
"1552",23.318,1,1
"1553",23.343,2,1
"1554",23.355,2,2
"1555",23.368,2,2
"1556",23.393,2,1
"1557",23.405,2,1
"1558",23.418,2,2
"1559",23.443,2,2
"1560",23.455,2,2
"1561",23.468,2,2
"1562",23.493,2,1
"1563",23.505,2,1
"1564",23.518,2,2
"1565",23.543,2,1
"1566",23.555,2,2
"1567",23.568,2,2
"1568",23.593,1,1
"1569",23.605,1,1
"1570",23.618,1,1
"1571",23.643,2,1
"1572",23.655,1,3
"1573",23.668,1,3
"1574",23.693,1,1
"1575",23.705,1,1
"1576",23.718,1,1
"1577",23.743,1,3
"1578",23.755,1,1
"1579",23.768,1,1
"1580",23.793,1,1
"1581",23.805,1,1
"1582",23.809,1,1
"1583",23.817,1,1
"1584",23.818,1,1
"1585",23.842,1,1
"1586",23.859,2,1
"1587",23.867,2,1
"1588",23.892,1,1
"1589",23.909,1,1
"1590",23.917,1,1
"1591",23.942,1,3
"1592",23.959,1,3
"1593",23.967,1,3
"1594",23.992,1,1
"1595",24.009,1,1
"1596",24.017,1,1
"1597",24.042,1,3
"1598",24.059,1,3
"1599",24.067,1,3
"1600",24.092,1,3
"1601",24.109,1,3
"1602",24.117,1,3
"1603",24.142,1,3
"1604",24.159,1,1
"1605",24.167,1,1
"1606",24.192,1,1
"1607",24.209,1,3
"1608",24.217,1,3
"1609",24.242,1,1
"1610",24.259,1,3
"1611",24.267,1,3
"1612",24.292,1,3
"1613",24.309,1,3
"1614",24.317,1,3
"1615",24.342,1,1
"1616",24.359,1,3
"1617",24.367,1,3
"1618",24.392,1,3
"1619",24.409,1,3
"1620",24.417,1,3
"1621",24.442,1,3
"1622",24.459,1,1
"1623",24.467,1,1
"1624",24.492,1,3
"1625",24.509,1,3
"1626",24.517,1,3
"1627",24.542,1,3
"1628",24.559,1,3
"1629",24.567,1,3
"1630",24.592,1,1
"1631",24.609,1,1
"1632",24.617,1,1
"1633",24.642,1,1
"1634",24.659,1,1
"1635",24.667,1,1
"1636",24.692,2,2
"1637",24.709,2,2
"1638",24.717,2,2
"1639",24.742,2,1
"1640",24.759,2,2
"1641",24.767,2,2
"1642",24.792,1,2
"1643",24.809,1,2
"1644",24.817,1,2
"1645",24.842,1,2
"1646",24.859,4,2
"1647",24.867,4,2
"1648",24.892,1,2
"1649",24.924,1,3
"1650",24.927,1,3
"1651",24.949,3,2
"1652",24.974,1,2
"1653",24.977,1,2
"1654",24.999,1,3
"1655",25.024,1,3
"1656",25.027,1,3
"1657",25.049,1,2
"1658",25.074,3,3
"1659",25.077,3,3
"1660",25.099,3,3
"1661",25.124,3,3
"1662",25.127,3,3
"1663",25.149,3,3
"1664",25.174,3,3
"1665",25.177,3,3
"1666",25.199,3,3
"1667",25.224,1,3
"1668",25.227,1,3
"1669",25.249,1,1
"1670",25.274,1,1
"1671",25.277,1,1
"1672",25.299,1,1
"1673",25.324,1,1
"1674",25.327,1,1
"1675",25.349,1,3
"1676",25.374,1,3
"1677",25.377,1,3
"1678",25.399,1,3
"1679",25.424,1,3
"1680",25.427,1,3
"1681",25.449,1,1
"1682",25.474,1,3
"1683",25.477,1,3
"1684",25.499,1,3
"1685",25.524,1,3
"1686",25.527,1,3
"1687",25.549,1,3
"1688",25.574,1,3
"1689",25.577,1,3
"1690",25.599,1,3
"1691",25.624,1,1
"1692",25.627,1,1
"1693",25.649,1,1
"1694",25.674,1,1
"1695",25.677,1,1
"1696",25.699,1,1
"1697",25.724,1,1
"1698",25.727,1,1
"1699",25.749,1,1
"1700",25.777,1,3
"1701",25.795,1,1
"1702",25.809,1,1
"1703",25.834,1,1
